"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"CF","Tasby, Willie R  ","$5,216,000","38876",".252",".324",".359","68.8","50.0","10.9","Av","43547",".683",".683","0","","","","","","","Vg/102","","Av","Fr","Normal",".322",".325",  
"CF, LF, RF","Wilson, Mookie S  ","$5,213,000","14551",".258",".297",".353","63.5","111.9","19.9","Ex","15536",".660",".645","0","","","","","","Vg/92","Vg/92","Vg/92","Fr","Ex","Normal",".298",".296",  
"SS, 3B","Weaver, Buck S  ","$5,211,000","25988",".250",".280",".348","55.1","71.2","29.5","Vg","27855",".623",".632","0","","","","Vg/98","Vg/98","","","","&nbsp;","Vg","Normal",".284",".279",  
"3B, 1B, LF","Branyan, Russ L  ","$5,209,000","27978",".227",".313",".446","85.5","18.0","9.19","Fr","31816",".711",".781","2","","Av/143","","Fr/116","","Fr/215","","","Av","Pr","Fragile",".295",".322",  
"3B, 2B","Grabarkewitz, Billy R  ","$5,203,000","16336",".230",".335",".343","72.0","60.7","7.47","Vg","19172",".621",".707","1","","","Fr/153","Av/87","","","","","&nbsp;","Av","Prone",".313",".346",  
"1B","Robinson, Eddie L  ","$5,182,000","29839",".248",".314",".399","74.9","28.3","12.4","Fr","33156",".685",".727","1","","Av/97","","","","","","","&nbsp;","Pr","Normal",".311",".316",  
"1B","Chambliss, Chris L  ","$5,181,000","12493",".256",".307",".368","66.2","58.7","15.0","Av","13612",".613",".704","2","","Vg/81","","","","","","","&nbsp;","Fr","Normal",".280",".319",  
"2B, 1B, 3B, SS","Loretta, Mark R  ","$5,156,000","18834",".277",".341",".348","72.0","159.6","12.0","Av","21010",".669",".699","-1","","Av/94","Av/64","Fr/61","Pr/65","","","","&nbsp;","Fr","Prone",".335",".344",  
"2B, 3B, SS","Carroll, Jamey R  ","$5,151,000","10018",".254",".329",".293","61.5","2003.6","10.5","Vg","11436",".635",".614","-1","","","Av/62","Vg/107","Fr/47","","","","&nbsp;","Fr","Normal",".338",".323",  
"RF, CF","Eaton, Adam L  ","$5,146,000","10314",".272",".346",".347","77.9","245.6","11.0","Vg","11722",".641",".719","2","","","","","","","Av/120","Av/120","Vg","Av","Prone",".331",".354",  
"1B, LF, RF","Collins, Joe L  ","$5,133,000","11871",".243",".323",".395","76.9","32.6","9.47","Av","13482",".576",".762","4","","Av/92","","","","Av/110","","Av/110","Fr","Fr","Normal",".270",".339",  
"3B","Radcliff, Alec R  ","$5,129,000","16358",".276",".321",".397","74.3","58.4","16.3","Av","17841",".752",".698","-1","","","","Av/120","","","","","&nbsp;","Av","Normal",".331",".315",  
"2B","Vina, Fernando L  ","$5,121,000","17981",".260",".324",".316","63.7","580.0","17.4","Vg","19975",".597",".662","1","","","Vg/89","","","","","","&nbsp;","Av","Prone",".306",".333",  
"CF, LF, RF","Roenicke, Ron S  ","$5,117,000","36191",".238",".351",".344","78.6","63.2","6.84","Av","42997",".753",".636","-2","","","","","","Av/56","Av/56","Av/56","Fr","Fr","Normal",".371",".331",  
"2B","Vidro, Jose S  ","$5,111,000","27474",".273",".333",".369","73.9","79.9","12.1","Av","30384",".717",".693","0","","","Fr/87","","","","","","&nbsp;","Pr","Prone",".342",".329",  
"LF, RF","Blades, Ray R  ","$5,098,000","21795",".249",".345",".397","84.0","39.8","8.70","Av","25411",".771",".728","0","","","","","","Av/113","","Av/113","Fr","Fr","Normal",".358",".338",  
"CF, LF, RF","Clark, Brady R  ","$5,091,000","27805",".268",".345",".328","70.4","197.2","11.4","Av","31868",".667",".677","0","","","","","","Av/87","Av/87","Av/87","Av","Av","Normal",".340",".348",  
"LF, RF","Higginson, Bobby L  ","$5,091,000","10607",".259",".342",".392","83.3","44.4","9.02","Av","12128",".617",".770","2","","","","","","Av/146","","Av/146","Vg","Av","Prone",".307",".353",  
"LF, RF","Covington, Wes L  ","$5,090,000","15070",".269",".323",".434","81.3","28.3","14.1","Fr","16484",".608",".796","5","","","","","","Pr/172","","Pr/172","Fr","Pr","Prone",".269",".337",  
"DH, LF","Page, Mitchell L  ","$5,082,000","10714",".256",".331",".416","82.3","31.0","10.2","Vg","12077",".682",".776","1","","","","","","Av/173","","","Fr","Vg","Normal",".311",".340",  
"CF","Hahn, Don R  ","$5,079,000","19231",".249",".333",".338","68.4","92.5","9.02","Vg","22018",".751",".564","-2","","","","","","","Vg/69","","Vg","Fr","Normal",".361",".295",  
"2B, SS","Reed, Jody R  ","$5,074,000","13523",".251",".327",".306","61.9","901.5","10.2","Av","15321",".617",".641","0","","","Vg/67","","Av/121","","","","&nbsp;","Fr","Normal",".320",".330",  
"3B, SS, LF, CF","Mora, Melvin R  ","$5,072,000","8138",".256",".328",".368","72.0","49.6","11.9","Vg","9176",".711",".685","0","","","","Av/95","Av/147","Vg/72","Av/72","","Fr","Av","Fragile",".337",".324",  
"RF, LF, CF","Jordan, Brian R  ","$5,070,000","6921",".253",".307",".384","68.7","41.4","15.2","Ex","7571",".766",".638","-3","","","","","","Vg/61","Av/61","Vg/61","Av","Av","Fragile",".336",".287",  
"2B","Perconte, Jack L  ","$5,062,000","29161",".260",".331",".309","67.7","857.7","10.9","Ex","33086",".619",".653","0","","","Av/96","","","","","","&nbsp;","Vg","Normal",".322",".337",  
"CF, LF, RF","Byrd, Sammy R  ","$5,059,000","24784",".257",".332",".386","77.7","40.5","10.00","Av","28049",".722",".717","0","","","","","","Av/80","Av/80","Av/80","Av","Fr","Normal",".329",".334",  
"1B, RF","Morgan, Ed R  ","$5,059,000","15407",".267",".347",".402","83.9","46.1","9.22","Fr","17650",".787",".728","1","","Av/144","","","","","","Pr/203","Fr","Fr","Normal",".357",".341",  
"LF, RF","Oglivie, Ben L  ","$5,059,000","11582",".252",".315",".398","73.5","33.0","12.3","Vg","12826",".637",".753","2","","","","","","Av/116","","Av/116","Av","Av","Normal",".287",".329",  
"1B","Sanchez, Gaby R  ","$5,053,000","10330",".261",".340",".422","86.1","33.5","9.28","Av","11773",".834",".682","-3","","Av/81","","","","","","","&nbsp;","Pr","Normal",".365",".313",  
"2B","Hernandez, Cesar S  ","$5,046,000","14377",".270",".336",".326","67.8","463.8","11.2","Av","16060",".694",".647","0","","","Av/105","","","","","","&nbsp;","Av","Normal",".348",".332",  
"C","Cooper, Walker R  ","$5,045,000","17039",".263",".302",".424","72.3","29.9","20.0","Pr","18259",".732",".722","0","Av/128","","","","","","","","&nbsp;","Pr","Prone",".307",".299",  
"1B","Galarraga, Andres R  ","$5,044,000","21624",".258",".309",".436","78.4","24.4","18.3","Av","23505",".786",".724","-1","","Av/114","","","","","","","&nbsp;","Av","Prone",".327",".299",  
"CF, 1B, LF, RF","Repoz, Roger L  ","$5,043,000","12512",".229",".310",".394","75.4","28.9","9.61","Av","14151",".563",".735","3","","Av/96","","","","Av/53","Av/53","Av/53","Av","Fr","Normal",".266",".319",  
"2B, SS","Clarke, Horace S  ","$5,039,000","20460",".263",".311",".311","58.2","365.4","15.3","Vg","22092",".632",".620","-1","","","Vg/81","","Pr/107","","","","&nbsp;","Av","Normal",".316",".309",  
"CF, LF, RF","Gonzalez, Tony L  ","$5,029,000","10987",".270",".333",".379","75.6","76.8","12.5","Vg","12153",".562",".758","4","","","","","","Av/57","Av/57","Av/57","Av","Fr","Prone",".276",".350",  
"CF, LF, RF","Thompson, Milt L  ","$5,025,000","16391",".260",".316",".343","65.8","100.6","13.6","Vg","17902",".493",".708","4","","","","","","Vg/87","Vg/87","Vg/87","Av","Vg","Normal",".258",".333",  
"C, 1B","McCarver, Tim L  ","$5,014,000","10475",".262",".323",".367","72.4","87.3","12.3","Av","11616",".653",".704","1","Vg/82","Fr/173","","","","","","","&nbsp;","Fr","Prone",".313",".328",  
"DH, LF, RF","Velez, Otto R  ","$5,010,000","20746",".231",".345",".405","86.1","26.4","6.80","Av","24665",".751",".750","-1","","","","","","Fr/135","","Fr/135","Av","Pr","Normal",".351",".342",  
"C, 1B, LF, CF, RF","Carroll, Fred R  ","$5,008,000","11646",".251",".333",".361","72.9","74.2","9.99","Vg","13243",".680",".702","-1","Fr/95","Fr/162","","","","Av/126","Fr/126","Av/126","Fr","Vg","Normal",".329",".335",  
"LF, RF","Smith, Seth L  ","$5,006,000","8028",".254",".333",".397","79.1","43.2","9.50","Av","9102",".558",".775","4","","","","","","Av/71","","Av/71","Fr","Fr","Normal",".272",".349",  
"1B","Snow, J.T. S  ","$4,998,000","11441",".252",".336",".370","74.6","50.2","9.15","Fr","13065",".583",".753","3","","Av/62","","","","","","","&nbsp;","Pr","Normal",".293",".352",  
"RF, LF, CF","Abrams, Cal L  ","$4,997,000","19311",".244",".349",".346","78.2","63.5","7.30","Av","22694",".656",".711","1","","","","","","Av/115","Fr/115","Av/115","Av","Fr","Normal",".338",".353",  
"2B, 3B","Bellhorn, Mark S  ","$4,997,000","49427",".226",".335",".359","76.9","42.0","7.14","Av","58077",".727",".671","-2","","","Av/114","Av/112","","","","","&nbsp;","Fr","Normal",".350",".324",  
"1B","Choi, Hee Seop L  ","$4,981,000","12703",".242",".342",".403","84.4","31.4","7.73","Av","14910",".608",".770","5","","Av/109","","","","","","","&nbsp;","Pr","Normal",".299",".350",  
"SS","Buddin, Don R  ","$4,980,000","31252",".216",".324",".303","61.5","112.8","7.48","Av","36797",".633",".622","-1","","","","","Vg/116","","","","&nbsp;","Pr","Normal",".326",".322",  
"LF, CF, RF","Daniels, Bert R  ","$4,976,000","9237",".238",".328",".363","74.6","53.1","10.8","Vg","10668",".740",".659","-1","","","","","","Vg/98","Av/98","Av/98","Av","Ex","Normal",".342",".319",  
"2B, SS","Yamazaki, Hiroyuki R  ","$4,962,000","18921",".242",".314",".339","65.3","74.5","10.8","Av","21647",".663",".651","-1","","","Vg/70","","Av/125","","","","&nbsp;","Av","Normal",".321",".311",  
"RF, LF, CF","Valentine, Fred S  ","$4,958,000","22070",".258",".338",".371","76.4","55.3","10.2","Av","25108",".727",".698","-1","","","","","","Av/88","Fr/88","Av/88","Av","Av","Normal",".347",".333",  
"C","Easterly, Ted L  ","$4,954,000","13242",".276",".313",".388","70.1","67.9","19.1","Pr","14241",".670",".715","1","Fr/116","","","","","","","","&nbsp;","Pr","Normal",".300",".319",  
"LF, RF","Bell, George R  ","$4,953,000","14992",".270",".307",".432","76.4","30.5","20.9","Vg","16005",".761",".729","-1","","","","","","Fr/189","","Fr/189","Av","Fr","Normal",".316",".303",  
"CF, LF, RF","Rosenthal, Larry L  ","$4,950,000","8980",".241",".338",".369","77.7","49.9","7.92","Vg","10464",".701",".708","0","","","","","","Vg/69","Av/69","Av/69","Av","Fr","Prone",".336",".338",  
"2B, 3B","Backman, Wally S  ","$4,949,000","26419",".271",".346",".333","71.9","290.3","9.76","Av","30009",".537",".713","5","","","Av/102","Fr/179","","","","","&nbsp;","Av","Prone",".285",".361",  
"CF","Herrera, Odubel L  ","$4,948,000","7175",".272",".323",".361","69.9","98.3","14.6","Av","7826",".658",".700","1","","","","","","","Vg/91","","Av","Av","Prone",".317",".327",  
"1B, 3B","Davis, Chris L  ","$4,943,000","18309",".230",".310",".415","78.0","22.1","9.96","Fr","20618",".652",".760","2","","Av/81","","Pr/204","","","","","&nbsp;","Pr","Prone",".284",".322",  
"LF, CF, RF","Mota, Manny R  ","$4,939,000","14261",".283",".334",".351","70.0","279.6","14.4","Av","15743",".663",".698","0","","","","","","Av/86","Fr/86","Av/86","Fr","Fr","Prone",".324",".340",  
"SS, 2B, 3B","Rogell, Billy S  ","$4,934,000","10114",".227",".299",".307","55.4","104.3","11.2","Vg","11471",".595",".617","0","","","Av/147","Av/99","Vg/84","","","","&nbsp;","Fr","Normal",".296",".303",  
"1B","Chase, Hal R  ","$4,932,000","14714",".267",".298",".393","68.1","53.3","24.6","Vg","15672",".736",".660","-1","","Vg/132","","","","","","","&nbsp;","Vg","Normal",".315",".286",  
"RF, LF, CF","Whiten, Mark S  ","$4,932,000","18456",".243",".318",".364","67.7","44.2","10.2","Av","20716",".655",".696","0","","","","","","Vg/157","Av/157","Vg/157","Ex","Av","Prone",".309",".323",  
"C","Soto, Geovany R  ","$4,927,000","10553",".251",".339",".419","84.2","28.0","8.50","Pr","12134",".815",".690","-2","Av/107","","","","","","","","&nbsp;","Pr","Fragile",".359",".315",  
"CF, LF","LeFlore, Ron R  ","$4,917,000","15197",".267",".322",".351","69.4","144.7","13.7","Ex","16627",".682",".669","-1","","","","","","Av/163","Av/163","","Fr","Ex","Normal",".324",".321",  
"3B, 1B","Zeile, Todd R  ","$4,917,000","17783",".261",".337",".404","80.3","35.8","9.81","Fr","20106",".759",".730","-1","","Vg/142","","Fr/111","","","","","&nbsp;","Fr","Normal",".343",".333",  
"1B","Leslie, Sam L  ","$4,914,000","16807",".271",".341",".369","74.8","73.7","11.0","Av","18826",".678",".724","0","","Av/106","","","","","","","&nbsp;","Fr","Normal",".332",".345",  
"DH, C","LeCroy, Matt R  ","$4,912,000","76229",".264",".337",".421","82.6","28.0","10.2","Pr","85780",".815",".643","-3","Fr/221","","","","","","","","&nbsp;","Pr","Prone",".358",".294",  
"3B, 1B, 2B, LF","Money, Don R  ","$4,911,000","11790",".247",".312",".377","70.7","44.5","12.2","Av","13185",".693",".685","0","","Fr/82","Av/88","Av/63","","Fr/110","","","Fr","Fr","Prone",".314",".311",  
"CF, LF, RF","Bates, Johnny L  ","$4,908,000","13896",".266",".346",".389","81.7","52.2","9.28","Av","15876",".699",".753","1","","","","","","Av/110","Av/110","Av/110","Av","Vg","Normal",".328",".355",  
"CF, RF","Stubbs, Drew R  ","$4,908,000","27425",".247",".322",".364","73.9","47.4","10.0","Ex","30877",".737",".623","-2","","","","","","","Av/111","Av/111","Vg","Vg","Normal",".341",".299",  
"3B, C","Sudakis, Bill S  ","$4,907,000","17972",".229",".307",".391","71.4","26.4","10.1","Fr","20264",".738",".676","-1","Fr/100","","","Vg/108","","","","","&nbsp;","Pr","Fragile",".323",".298",  
"SS","McMillan, Roy R  ","$4,904,000","20312",".224",".297",".272","47.7","495.4","11.5","Av","22943",".593",".555","-1","","","","","Ex/72","","","","&nbsp;","Fr","Normal",".304",".292",  
"3B, 1B","Blalock, Hank L  ","$4,903,000","21751",".261",".323",".406","76.7","33.9","12.0","Fr","24005",".574",".757","3","","Fr/141","","Fr/90","","","","","&nbsp;","Pr","Prone",".269",".332",  
"LF, 1B","Rudi, Joe R  ","$4,898,000","14005",".257",".299",".409","70.3","36.1","19.2","Av","15045",".701",".712","0","","Av/106","","","","Av/48","","","Av","Pr","Prone",".295",".301",  
"CF","Oliver, Tom R  ","$4,897,000","14622",".257",".297",".324","55.1","146.2","19.4","Vg","15605",".585",".642","0","","","","","","","Ex/48","","Vg","Fr","Normal",".284",".304",  
"RF","Sierra, Ruben S  ","$4,892,000","23803",".259",".306",".410","72.8","35.4","15.5","Av","25764",".743",".701","-1","","","","","","","","Fr/157","Av","Av","Normal",".317",".299",  
"RF, LF","Kearns, Austin R  ","$4,887,000","10493",".245",".334",".364","72.9","47.5","9.09","Av","12017",".701",".697","0","","","","","","Vg/86","","Vg/86","Vg","Fr","Fragile",".336",".333",  
"SS","Everett, Adam R  ","$4,884,000","18102",".228",".275",".282","46.3","517.2","18.3","Vg","19804",".572",".543","-1","","","","","Ex/88","","","","&nbsp;","Av","Prone",".280",".269",  
"LF, RF","Jolley, Smead L  ","$4,883,000","24957",".271",".306",".422","74.6","34.0","22.4","Pr","26555",".691",".745","1","","","","","","Pr/170","","Pr/170","Fr","Pr","Normal",".293",".312",  
"C","Lieberthal, Mike R  ","$4,878,000","13785",".265",".327",".392","75.8","45.6","13.3","Pr","15312",".795",".644","-2","Fr/97","","","","","","","","&nbsp;","Pr","Prone",".357",".297",  
"SS, 3B","Smalley, Roy Jr S  ","$4,875,000","17388",".236",".320",".342","67.4","49.7","9.20","Fr","20002",".612",".687","1","","","","Vg/127","Av/92","","","","&nbsp;","Fr","Normal",".300",".330",  
"2B, SS","Jimenez, D'Angelo S  ","$4,874,000","29668",".257",".340",".336","70.5","141.3","8.91","Fr","33816",".602",".711","2","","","Av/93","","Av/160","","","","&nbsp;","Fr","Prone",".311",".354",  
"1B","Boyd, Bob L  ","$4,867,000","14410",".279",".327",".369","72.0","134.7","15.0","Av","15755",".594",".725","3","","Av/94","","","","","","","&nbsp;","Fr","Normal",".291",".337",  
"3B","Majeski, Hank R  ","$4,851,000","15879",".253",".300",".358","60.6","73.5","17.7","Fr","17161",".666",".655","-1","","","","Vg/70","","","","","&nbsp;","Pr","Normal",".310",".296",  
"SS, 2B, 3B","Thon, Dickie R  ","$4,847,000","13476",".247",".296",".348","60.0","67.4","15.3","Vg","14665",".690",".610","-1","","","Av/216","Av/119","Vg/103","","","","&nbsp;","Vg","Prone",".312",".285",  
"CF, LF","Crisp, Coco S  ","$4,837,000","9936",".259",".325",".370","73.8","65.8","11.2","Vg","11134",".672",".710","1","","","","","","Vg/64","Vg/64","","Pr","Vg","Fragile",".317",".331",  
"1B","Skowron, Bill R  ","$4,835,000","20415",".271",".314",".428","75.5","32.4","18.5","Fr","22054",".776",".720","-1","","Av/82","","","","","","","&nbsp;","Pr","Prone",".327",".306",  
"3B","Hoak, Don R  ","$4,828,000","14520",".243",".320",".337","64.6","91.3","10.0","Vg","16436",".677",".645","-2","","","","Vg/83","","","","","&nbsp;","Fr","Prone",".327",".316",  
"RF, LF","Conigliaro, Tony R  ","$4,827,000","19934",".248",".311",".426","77.8","25.6","12.6","Av","22006",".789",".707","-2","","","","","","Av/105","","Av/105","Av","Fr","Prone",".331",".299",  
"RF","Dixon, Rap R  ","$4,823,000","16326",".262",".303",".422","73.6","28.6","17.6","Vg","17543",".738",".721","-1","","","","","","","","Av/134","Ex","Av","Normal",".304",".304",  
"LF","Burrell, Pat R  ","$4,822,000","18167",".239",".347",".412","87.0","25.4","6.98","Fr","21448",".827",".723","-1","","","","","","Pr/151","","","Vg","Pr","Normal",".375",".332",  
"1B, LF","Colbert, Nate R  ","$4,821,000","22942",".231",".301",".424","73.9","22.2","11.2","Av","25527",".699",".742","0","","Av/105","","","","Fr/118","","","Av","Av","Normal",".293",".307",  
"DH, 1B, LF","Kittle, Ron R  ","$4,820,000","40809",".232",".296",".442","76.7","17.2","13.1","Fr","45013",".753",".729","-1","","Fr/210","","","","Pr/143","","","Fr","Fr","Prone",".301",".293",  
"LF, RF","Quentin, Carlos R  ","$4,820,000","17896",".249",".341",".435","88.4","25.0","10.5","Fr","20713",".782",".771","0","","","","","","Fr/141","","Fr/141","Fr","Pr","Fragile",".336",".343",  
"1B","Segui, David S  ","$4,817,000","19648",".273",".339",".380","76.9","62.4","10.8","Fr","21934",".644",".759","1","","Av/63","","","","","","","&nbsp;","Pr","Prone",".315",".352",  
"SS","Bowa, Larry S  ","$4,815,000","21977",".255",".299",".305","56.2","467.6","17.4","Vg","24185",".625",".592","-1","","","","","Av/58","","","","&nbsp;","Vg","Normal",".311",".292",  
"LF, 1B, 3B","Davis, Tommy R  ","$4,815,000","22651",".282",".319",".380","68.5","64.7","20.6","Av","24150",".736",".677","-1","","Fr/214","","Pr/182","","Av/134","","","Fr","Av","Normal",".335",".310",  
"LF","Harris, Vic L  ","$4,815,000","18541",".262",".326",".349","68.8","86.6","11.8","Vg","20728",".647",".691","1","","","","","","Vg/87","","","Av","Vg","Normal",".319",".331",  
"C","Clements, Jack L  ","$4,814,000","14525",".252",".307",".376","67.5","48.6","14.2","Av","15935",".612",".698","1","Av/81","","","","","","","","&nbsp;","Fr","Normal",".281",".311",  
"LF, 2B, 3B, CF, RF","Harper, Tommy R  ","$4,814,000","23366",".244",".324",".356","74.0","55.4","9.77","Ex","26768",".667",".687","0","","","Fr/181","Fr/119","","Av/64","Av/64","Av/64","Fr","Ex","Prone",".319",".326",  
"C, 1B","Lucroy, Jonathan R  ","$4,812,000","12812",".267",".329",".360","69.5","89.6","12.1","Fr","14174",".693",".682","-1","Av/107","Pr/152","","","","","","","&nbsp;","Pr","Prone",".337",".323",  
